Pattern,MatchesList,Use,Matches,Clue,Answer,Quality,Difficulty,Reviewed
rat_on,"['ration', 'ratoon']",,ration ratoon,,,,,FALSE
_ailed,"['mailed', 'tailed']",,mailed tailed,,,,,FALSE
ma_led,"['mailed', 'macled']",,mailed macled,,,,,FALSE
p_each,"['preach', 'pleach']",,preach pleach,,,,,FALSE
pr_ach,"['preach', 'proach']",,preach proach,,,,,FALSE
preac_,"['preach', 'preace', 'preact']",,preach preace preact,,,,,FALSE
_orous,"['porous', 'torous']",,porous torous,,,,,FALSE
por_us,"['porous', 'porpus']",,porous porpus,,,,,FALSE
uph_ld,"['upheld', 'uphold']",,upheld uphold,,,,,FALSE
s_ance,"['stance', 'seance']",,stance seance,,,,,FALSE
stanc_,"['stance', 'stanch']",,stance stanch,,,,,FALSE
_ubble,"['bubble', 'rubble', 'nubble', 'pubble']",,bubble rubble nubble pubble,,,,,FALSE
b_bble,"['bubble', 'babble']",,bubble babble,,,,,FALSE
bu_ble,"['bubble', 'bumble']",,bubble bumble,,,,,FALSE
bub_le,"['bubble', 'bubale']",,bubble bubale,,,,,FALSE
bubbl_,"['bubble', 'bubbly']",,bubble bubbly,,,,,FALSE
_anker,"['banker', 'canker', 'hanker', 'ranker', 'janker']",,banker canker hanker ranker janker,,,,,FALSE
b_nker,"['banker', 'bunker']",,banker bunker,,,,,FALSE
ba_ker,"['banker', 'barker', 'backer', 'balker']",,banker barker backer balker,,,,,FALSE
ban_er,"['banker', 'banner', 'banter', 'bander']",,banker banner banter bander,,,,,FALSE
b_ther,"['bother', 'bather']",,bother bather,,,,,FALSE
pist_l,"['pistol', 'pistil', 'pistel']",,pistol pistil pistel,,,,,FALSE
c_tter,"['cutter', 'cotter']",,cutter cotter,,,,,FALSE
cu_ter,"['cutter', 'culter']",,cutter culter,,,,,FALSE
cut_er,"['cutter', 'cutler']",,cutter cutler,,,,,FALSE
a_cent,"['accent', 'ascent']",,accent ascent,,,,,FALSE
accen_,"['accent', 'accend']",,accent accend,,,,,FALSE
refl_x,"['reflex', 'reflux']",,reflex reflux,,,,,FALSE
refle_,"['reflex', 'reflet']",,reflex reflet,,,,,FALSE
_anton,"['canton', 'wanton', 'panton', 'santon']",,canton wanton panton santon,,,,,FALSE
ca_ton,"['canton', 'carton', 'caxton']",,canton carton caxton,,,,,FALSE
canto_,"['canton', 'cantor']",,canton cantor,,,,,FALSE
mos_ic,"['mosaic', 'mostic']",,mosaic mostic,,,,,FALSE
dra_er,"['drawer', 'draper']",,drawer draper,,,,,FALSE
drawe_,"['drawer', 'drawee']",,drawer drawee,,,,,FALSE
s_rive,"['strive', 'shrive']",,strive shrive,,,,,FALSE
str_ve,"['strive', 'strove']",,strive strove,,,,,FALSE
_ibbon,"['ribbon', 'gibbon']",,ribbon gibbon,,,,,FALSE
_ungle,"['jungle', 'bungle']",,jungle bungle,,,,,FALSE
j_ngle,"['jungle', 'jingle', 'jangle']",,jungle jingle jangle,,,,,FALSE
ju_gle,"['jungle', 'juggle']",,jungle juggle,,,,,FALSE
jungl_,"['jungle', 'jungly']",,jungle jungly,,,,,FALSE
_orage,"['forage', 'borage', 'corage']",,forage borage corage,,,,,FALSE
_anity,"['vanity', 'sanity']",,vanity sanity,,,,,FALSE
bar_en,"['barren', 'barken']",,barren barken,,,,,FALSE
_educt,"['deduct', 'reduct']",,deduct reduct,,,,,FALSE
dedu_t,"['deduct', 'deduit']",,deduct deduit,,,,,FALSE
deduc_,"['deduct', 'deduce']",,deduct deduce,,,,,FALSE
_edger,"['ledger', 'hedger', 'kedger']",,ledger hedger kedger,,,,,FALSE
l_dger,"['ledger', 'lodger']",,ledger lodger,,,,,FALSE
le_ger,"['ledger', 'lenger', 'leiger']",,ledger lenger leiger,,,,,FALSE
pa_ing,"['paving', 'paging', 'paring', 'paling']",,paving paging paring paling,,,,,FALSE
re_ise,"['revise', 'remise']",,revise remise,,,,,FALSE
revi_e,"['revise', 'revive', 'revile']",,revise revive revile,,,,,FALSE
s_rang,"['sprang', 'strang', 'serang']",,sprang strang serang,,,,,FALSE
_arted,"['parted', 'warted']",,parted warted,,,,,FALSE
p_rted,"['parted', 'ported']",,parted ported,,,,,FALSE
parte_,"['parted', 'parter']",,parted parter,,,,,FALSE
can_el,"['cancel', 'cantel']",,cancel cantel,,,,,FALSE
_oupon,"['coupon', 'youpon']",,coupon youpon,,,,,FALSE
shake_,"['shaken', 'shaker']",,shaken shaker,,,,,FALSE
_ucker,"['tucker', 'sucker', 'pucker', 'ducker', 'mucker', 'bucker']",,tucker sucker pucker ducker mucker bucker,,,,,FALSE
t_cker,"['tucker', 'ticker', 'tacker']",,tucker ticker tacker,,,,,FALSE
tu_ker,"['tucker', 'tusker', 'tunker']",,tucker tusker tunker,,,,,FALSE
tucke_,"['tucker', 'tucket']",,tucker tucket,,,,,FALSE
_onkey,"['monkey', 'donkey']",,monkey donkey,,,,,FALSE
monk_y,"['monkey', 'monkly']",,monkey monkly,,,,,FALSE
_ucket,"['bucket', 'tucket', 'sucket']",,bucket tucket sucket,,,,,FALSE
b_cket,"['bucket', 'becket']",,bucket becket,,,,,FALSE
bu_ket,"['bucket', 'busket']",,bucket busket,,,,,FALSE
bucke_,"['bucket', 'bucker']",,bucket bucker,,,,,FALSE
cypr_s,"['cyprus', 'cypris', 'cypres']",,cyprus cypris cypres,,,,,FALSE
_obalt,"['cobalt', 'kobalt']",,cobalt kobalt,,,,,FALSE
_eaver,"['beaver', 'weaver', 'leaver', 'heaver', 'reaver']",,beaver weaver leaver heaver reaver,,,,,FALSE
bea_er,"['beaver', 'bearer', 'beaker', 'beater']",,beaver bearer beaker beater,,,,,FALSE
warde_,"['warden', 'warder']",,warden warder,,,,,FALSE
_itric,"['nitric', 'citric', 'vitric']",,nitric citric vitric,,,,,FALSE
qu_rry,"['quarry', 'querry']",,quarry querry,,,,,FALSE
e_otic,"['exotic', 'erotic']",,exotic erotic,,,,,FALSE
exo_ic,"['exotic', 'exodic']",,exotic exodic,,,,,FALSE
_urrey,"['surrey', 'murrey']",,surrey murrey,,,,,FALSE
rege_t,"['regent', 'regest']",,regent regest,,,,,FALSE
del_te,"['delete', 'delate']",,delete delate,,,,,FALSE
v_nous,"['venous', 'vinous']",,venous vinous,,,,,FALSE
lo_dly,"['loudly', 'lordly']",,loudly lordly,,,,,FALSE
_arton,"['barton', 'carton']",,barton carton,,,,,FALSE
ba_ton,"['barton', 'baston', 'batton']",,barton baston batton,,,,,FALSE
bar_on,"['barton', 'barcon']",,barton barcon,,,,,FALSE
wis_ly,"['wisely', 'wistly', 'wishly']",,wisely wistly wishly,,,,,FALSE
barke_,"['barker', 'barken']",,barker barken,,,,,FALSE
we_ver,"['weaver', 'weever']",,weaver weever,,,,,FALSE
wea_er,"['weaver', 'wearer', 'weaser']",,weaver wearer weaser,,,,,FALSE
li_ter,"['litter', 'lister', 'lifter']",,litter lister lifter,,,,,FALSE
lit_er,"['litter', 'lither']",,litter lither,,,,,FALSE
lo_ged,"['lodged', 'logged']",,lodged logged,,,,,FALSE
lodge_,"['lodged', 'lodger']",,lodged lodger,,,,,FALSE
_olite,"['polite', 'iolite']",,polite iolite,,,,,FALSE
po_ite,"['polite', 'porite']",,polite porite,,,,,FALSE
polit_,"['polite', 'polity']",,polite polity,,,,,FALSE
l_nder,"['lender', 'lander']",,lender lander,,,,,FALSE
len_er,"['lender', 'lenger']",,lender lenger,,,,,FALSE
lende_,"['lender', 'lendes']",,lender lendes,,,,,FALSE
_arity,"['parity', 'rarity']",,parity rarity,,,,,FALSE
kil_er,"['killer', 'kilter']",,killer kilter,,,,,FALSE
arche_,"['arches', 'archer', 'arched']",,arches archer arched,,,,,FALSE
pi_ing,"['piping', 'piling', 'pining']",,piping piling pining,,,,,FALSE
_eater,"['heater', 'beater']",,heater beater,,,,,FALSE
hea_er,"['heater', 'header', 'healer', 'hearer', 'heaver', 'heaper']",,heater header healer hearer heaver heaper,,,,,FALSE
_owler,"['fowler', 'bowler', 'howler', 'jowler']",,fowler bowler howler jowler,,,,,FALSE
fo_ler,"['fowler', 'foiler']",,fowler foiler,,,,,FALSE
_edial,"['medial', 'pedial']",,medial pedial,,,,,FALSE
me_ial,"['medial', 'menial', 'mesial']",,medial menial mesial,,,,,FALSE
_ozzle,"['nozzle', 'sozzle']",,nozzle sozzle,,,,,FALSE
n_zzle,"['nozzle', 'nuzzle']",,nozzle nuzzle,,,,,FALSE
a_etic,"['acetic', 'anetic']",,acetic anetic,,,,,FALSE
ace_ic,"['acetic', 'aceric']",,acetic aceric,,,,,FALSE
aceti_,"['acetic', 'acetin']",,acetic acetin,,,,,FALSE
ci_rus,"['citrus', 'cirrus']",,citrus cirrus,,,,,FALSE
fe_dal,"['feudal', 'feodal']",,feudal feodal,,,,,FALSE
trade_,"['traded', 'trader']",,traded trader,,,,,FALSE
fun_us,"['fungus', 'fundus']",,fungus fundus,,,,,FALSE
str_it,"['strait', 'streit']",,strait streit,,,,,FALSE
pill_r,"['pillar', 'piller']",,pillar piller,,,,,FALSE
pilla_,"['pillar', 'pillau']",,pillar pillau,,,,,FALSE
r_gged,"['rugged', 'ragged']",,rugged ragged,,,,,FALSE
tu_ing,"['tubing', 'tuning']",,tubing tuning,,,,,FALSE
_illow,"['pillow', 'willow', 'billow', 'tillow', 'killow']",,pillow willow billow tillow killow,,,,,FALSE
s_rine,"['shrine', 'serine', 'scrine']",,shrine serine scrine,,,,,FALSE
shri_e,"['shrine', 'shrike', 'shrive']",,shrine shrike shrive,,,,,FALSE
shrin_,"['shrine', 'shrink']",,shrine shrink,,,,,FALSE
_earth,"['hearth', 'dearth', 'yearth']",,hearth dearth yearth,,,,,FALSE
heart_,"['hearth', 'hearty']",,hearth hearty,,,,,FALSE
w_llow,"['willow', 'wallow']",,willow wallow,,,,,FALSE
_rease,"['grease', 'crease', 'prease']",,grease crease prease,,,,,FALSE
grea_e,"['grease', 'greave']",,grease greave,,,,,FALSE
greas_,"['grease', 'greasy']",,grease greasy,,,,,FALSE
_otted,"['dotted', 'sotted']",,dotted sotted,,,,,FALSE
in_ult,"['insult', 'indult', 'incult']",,insult indult incult,,,,,FALSE
_ivers,"['divers', 'vivers']",,divers vivers,,,,,FALSE
diver_,"['divers', 'divert', 'diverb']",,divers divert diverb,,,,,FALSE
_eatly,"['neatly', 'featly']",,neatly featly,,,,,FALSE
_ablet,"['tablet', 'cablet', 'gablet']",,tablet cablet gablet,,,,,FALSE
ta_let,"['tablet', 'taslet', 'taglet']",,tablet taslet taglet,,,,,FALSE
tab_et,"['tablet', 'tabret']",,tablet tabret,,,,,FALSE
table_,"['tablet', 'tabler']",,tablet tabler,,,,,FALSE
mora_e,"['morale', 'morate']",,morale morate,,,,,FALSE
th_rst,"['thirst', 'thurst']",,thirst thurst,,,,,FALSE
out_ay,"['outlay', 'outway', 'outray']",,outlay outway outray,,,,,FALSE
outla_,"['outlay', 'outlaw']",,outlay outlaw,,,,,FALSE
_alice,"['malice', 'calice']",,malice calice,,,,,FALSE
m_lice,"['malice', 'milice']",,malice milice,,,,,FALSE
_laire,"['claire', 'glaire']",,claire glaire,,,,,FALSE
cla_re,"['claire', 'clarre']",,claire clarre,,,,,FALSE
ve_vet,"['velvet', 'vervet']",,velvet vervet,,,,,FALSE
vel_et,"['velvet', 'vellet']",,velvet vellet,,,,,FALSE
_ackle,"['tackle', 'hackle', 'cackle', 'mackle']",,tackle hackle cackle mackle,,,,,FALSE
t_ckle,"['tackle', 'tickle']",,tackle tickle,,,,,FALSE
bru_al,"['brutal', 'brumal']",,brutal brumal,,,,,FALSE
_allet,"['ballet', 'wallet', 'pallet', 'mallet', 'sallet', 'callet']",,ballet wallet pallet mallet sallet callet,,,,,FALSE
ba_let,"['ballet', 'batlet']",,ballet batlet,,,,,FALSE
ga_lic,"['garlic', 'gaelic', 'gallic']",,garlic gaelic gallic,,,,,FALSE
devoi_,"['devoid', 'devoir']",,devoid devoir,,,,,FALSE
ar_ent,"['ardent', 'argent', 'arpent']",,ardent argent arpent,,,,,FALSE
_ailor,"['sailor', 'tailor', 'bailor']",,sailor tailor bailor,,,,,FALSE
sail_r,"['sailor', 'sailer']",,sailor sailer,,,,,FALSE
reci_e,"['recipe', 'recite']",,recipe recite,,,,,FALSE
_rough,"['trough', 'drough']",,trough drough,,,,,FALSE
un_uly,"['unduly', 'unruly']",,unduly unruly,,,,,FALSE
undul_,"['unduly', 'undull']",,unduly undull,,,,,FALSE
_eacon,"['beacon', 'deacon']",,beacon deacon,,,,,FALSE
_lutch,"['clutch', 'slutch']",,clutch slutch,,,,,FALSE
c_utch,"['clutch', 'crutch']",,clutch crutch,,,,,FALSE
cl_tch,"['clutch', 'clatch']",,clutch clatch,,,,,FALSE
clu_ch,"['clutch', 'clunch']",,clutch clunch,,,,,FALSE
_loomy,"['gloomy', 'bloomy', 'sloomy']",,gloomy bloomy sloomy,,,,,FALSE
cer_al,"['cereal', 'cercal', 'cerial']",,cereal cercal cerial,,,,,FALSE
quo_um,"['quorum', 'quotum']",,quorum quotum,,,,,FALSE
_inder,"['hinder', 'binder', 'finder', 'cinder', 'winder', 'tinder', 'pinder', 'minder']",,hinder binder finder cinder winder tinder pinder minder,,,,,FALSE
h_nder,"['hinder', 'hander']",,hinder hander,,,,,FALSE
_eeder,"['feeder', 'seeder', 'weeder', 'needer']",,feeder seeder weeder needer,,,,,FALSE
fe_der,"['feeder', 'fender']",,feeder fender,,,,,FALSE
fee_er,"['feeder', 'feeler']",,feeder feeler,,,,,FALSE
huma_e,"['humane', 'humate']",,humane humate,,,,,FALSE
wi_ing,"['wiring', 'witing']",,wiring witing,,,,,FALSE
_elena,"['helena', 'melena']",,helena melena,,,,,FALSE
_pical,"['apical', 'epical']",,apical epical,,,,,FALSE
_ecker,"['becker', 'decker', 'pecker']",,becker decker pecker,,,,,FALSE
b_cker,"['becker', 'backer', 'bicker', 'bucker']",,becker backer bicker bucker,,,,,FALSE
be_ker,"['becker', 'beaker']",,becker beaker,,,,,FALSE
becke_,"['becker', 'becket']",,becker becket,,,,,FALSE
uneas_,"['uneasy', 'unease']",,uneasy unease,,,,,FALSE
esco_t,"['escort', 'escout']",,escort escout,,,,,FALSE
_aulty,"['faulty', 'vaulty']",,faulty vaulty,,,,,FALSE
out_it,"['outfit', 'outwit', 'outsit']",,outfit outwit outsit,,,,,FALSE
bur_er,"['burner', 'burier', 'burler']",,burner burier burler,,,,,FALSE
pelvi_,"['pelvic', 'pelvis']",,pelvic pelvis,,,,,FALSE
o_long,"['oblong', 'oolong']",,oblong oolong,,,,,FALSE
gossi_,"['gossip', 'gossib']",,gossip gossib,,,,,FALSE
_aiser,"['kaiser', 'raiser']",,kaiser raiser,,,,,FALSE
al_ine,"['alpine', 'aldine', 'alvine']",,alpine aldine alvine,,,,,FALSE
amuse_,"['amused', 'amuser']",,amused amuser,,,,,FALSE
_idder,"['bidder', 'ridder', 'tidder']",,bidder ridder tidder,,,,,FALSE
b_dder,"['bidder', 'badder']",,bidder badder,,,,,FALSE
bi_der,"['bidder', 'binder', 'birder']",,bidder binder birder,,,,,FALSE
bidde_,"['bidder', 'bidden']",,bidder bidden,,,,,FALSE
wa_ing,"['waking', 'waning', 'wading', 'waling']",,waking waning wading waling,,,,,FALSE
_rader,"['trader', 'grader']",,trader grader,,,,,FALSE
tra_er,"['trader', 'tracer']",,trader tracer,,,,,FALSE
_essor,"['lessor', 'cessor']",,lessor cessor,,,,,FALSE
_earer,"['bearer', 'hearer', 'wearer', 'rearer', 'fearer', 'tearer']",,bearer hearer wearer rearer fearer tearer,,,,,FALSE
s_eath,"['sheath', 'sneath', 'smeath']",,sheath sneath smeath,,,,,FALSE
_ernel,"['kernel', 'pernel']",,kernel pernel,,,,,FALSE
ke_nel,"['kernel', 'kennel']",,kernel kennel,,,,,FALSE
kerne_,"['kernel', 'kerned']",,kernel kerned,,,,,FALSE
_ading,"['lading', 'fading', 'wading']",,lading fading wading,,,,,FALSE
ladin_,"['lading', 'ladino']",,lading ladino,,,,,FALSE
bu_hel,"['bushel', 'burhel']",,bushel burhel,,,,,FALSE
bushe_,"['bushel', 'bushet']",,bushel bushet,,,,,FALSE
_enace,"['menace', 'tenace']",,menace tenace,,,,,FALSE
m_nace,"['menace', 'manace']",,menace manace,,,,,FALSE
mena_e,"['menace', 'menage']",,menace menage,,,,,FALSE
_epose,"['repose', 'depose', 'sepose']",,repose depose sepose,,,,,FALSE
repo_e,"['repose', 'repone']",,repose repone,,,,,FALSE
_ooler,"['cooler', 'pooler']",,cooler pooler,,,,,FALSE
c_oler,"['cooler', 'choler']",,cooler choler,,,,,FALSE
s_ider,"['spider', 'slider', 'snider']",,spider slider snider,,,,,FALSE
sp_der,"['spider', 'spader']",,spider spader,,,,,FALSE
spi_er,"['spider', 'spicer']",,spider spicer,,,,,FALSE
s_rimp,"['shrimp', 'scrimp', 'skrimp']",,shrimp scrimp skrimp,,,,,FALSE
e_olve,"['evolve', 'exolve']",,evolve exolve,,,,,FALSE
title_,"['titled', 'titler']",,titled titler,,,,,FALSE
screa_,"['scream', 'screak']",,scream screak,,,,,FALSE
_uzzle,"['puzzle', 'muzzle', 'nuzzle', 'guzzle', 'fuzzle']",,puzzle muzzle nuzzle guzzle fuzzle,,,,,FALSE
p_zzle,"['puzzle', 'pizzle']",,puzzle pizzle,,,,,FALSE
v_rtex,"['vertex', 'vortex']",,vertex vortex,,,,,FALSE
bran_y,"['brandy', 'branny']",,brandy branny,,,,,FALSE
_oldly,"['boldly', 'coldly']",,boldly coldly,,,,,FALSE
b_ldly,"['boldly', 'baldly']",,boldly baldly,,,,,FALSE
_ealty,"['realty', 'fealty']",,realty fealty,,,,,FALSE
rea_ty,"['realty', 'reasty']",,realty reasty,,,,,FALSE
mi_way,"['midway', 'misway']",,midway misway,,,,,FALSE
mid_ay,"['midway', 'midday']",,midway midday,,,,,FALSE
re_aid,"['repaid', 'relaid']",,repaid relaid,,,,,FALSE
repa_d,"['repaid', 'repand']",,repaid repand,,,,,FALSE
_orbid,"['forbid', 'morbid']",,forbid morbid,,,,,FALSE
b_nder,"['binder', 'bender', 'bunder', 'bander', 'bonder']",,binder bender bunder bander bonder,,,,,FALSE
hereo_,"['hereof', 'hereon']",,hereof hereon,,,,,FALSE
_ethal,"['lethal', 'methal']",,lethal methal,,,,,FALSE
_icely,"['nicely', 'cicely']",,nicely cicely,,,,,FALSE
nice_y,"['nicely', 'nicety', 'nicery']",,nicely nicety nicery,,,,,FALSE
_ander,"['wander', 'lander', 'gander', 'zander', 'mander', 'pander', 'hander', 'dander', 'bander']",,wander lander gander zander mander pander hander dander bander,,,,,FALSE
wa_der,"['wander', 'warder']",,wander warder,,,,,FALSE
wan_er,"['wander', 'wanger']",,wander wanger,,,,,FALSE
_ester,"['lester', 'tester', 'jester', 'fester', 'pester', 'yester', 'mester']",,lester tester jester fester pester yester mester,,,,,FALSE
l_ster,"['lester', 'lister', 'luster', 'laster']",,lester lister luster laster,,,,,FALSE
_yrian,"['syrian', 'tyrian']",,syrian tyrian,,,,,FALSE
syria_,"['syrian', 'syriac']",,syrian syriac,,,,,FALSE
_yster,"['oyster', 'xyster']",,oyster xyster,,,,,FALSE
o_ster,"['oyster', 'ouster']",,oyster ouster,,,,,FALSE
haire_,"['haired', 'hairen']",,haired hairen,,,,,FALSE
_inged,"['winged', 'hinged', 'ringed']",,winged hinged ringed,,,,,FALSE
wi_ged,"['winged', 'wigged']",,winged wigged,,,,,FALSE
winge_,"['winged', 'winger']",,winged winger,,,,,FALSE
unsee_,"['unseen', 'unseem', 'unseel']",,unseen unseem unseel,,,,,FALSE
thora_,"['thorax', 'thoral']",,thorax thoral,,,,,FALSE
c_rcus,"['circus', 'cercus']",,circus cercus,,,,,FALSE
cir_us,"['circus', 'cirrus']",,circus cirrus,,,,,FALSE
ascen_,"['ascent', 'ascend']",,ascent ascend,,,,,FALSE
_rower,"['grower', 'frower']",,grower frower,,,,,FALSE
g_ower,"['grower', 'glower']",,grower glower,,,,,FALSE
gro_er,"['grower', 'grocer', 'groper']",,grower grocer groper,,,,,FALSE
s_cket,"['socket', 'sucket']",,socket sucket,,,,,FALSE
sati_e,"['satire', 'sative']",,satire sative,,,,,FALSE
_ystic,"['mystic', 'cystic']",,mystic cystic,,,,,FALSE
m_stic,"['mystic', 'mastic', 'mistic', 'mostic']",,mystic mastic mistic mostic,,,,,FALSE
my_tic,"['mystic', 'myotic']",,mystic myotic,,,,,FALSE
_aurel,"['laurel', 'saurel']",,laurel saurel,,,,,FALSE
laure_,"['laurel', 'laurer']",,laurel laurer,,,,,FALSE
_avern,"['tavern', 'cavern']",,tavern cavern,,,,,FALSE
o_ally,"['orally', 'ovally']",,orally ovally,,,,,FALSE
squir_,"['squire', 'squirm', 'squirt', 'squirr', 'squiry']",,squire squirm squirt squirr squiry,,,,,FALSE
_ntail,"['entail', 'intail']",,entail intail,,,,,FALSE
en_ail,"['entail', 'enjail']",,entail enjail,,,,,FALSE
ent_il,"['entail', 'entoil']",,entail entoil,,,,,FALSE
u_land,"['upland', 'unland']",,upland unland,,,,,FALSE
up_and,"['upland', 'uphand']",,upland uphand,,,,,FALSE
shr_nk,"['shrink', 'shrank']",,shrink shrank,,,,,FALSE
shri_k,"['shrink', 'shriek']",,shrink shriek,,,,,FALSE
s_rung,"['sprung', 'strung']",,sprung strung,,,,,FALSE
sprun_,"['sprung', 'sprunt']",,sprung sprunt,,,,,FALSE
_amboo,"['bamboo', 'samboo']",,bamboo samboo,,,,,FALSE
_utile,"['futile', 'rutile', 'sutile']",,futile rutile sutile,,,,,FALSE
fu_ile,"['futile', 'fusile', 'furile']",,futile fusile furile,,,,,FALSE
cur_ed,"['cursed', 'curled']",,cursed curled,,,,,FALSE
curse_,"['cursed', 'curser']",,cursed curser,,,,,FALSE
g_nger,"['ginger', 'ganger']",,ginger ganger,,,,,FALSE
in_ate,"['innate', 'inmate', 'ingate']",,innate inmate ingate,,,,,FALSE
p_ster,"['poster', 'pester', 'paster']",,poster pester paster,,,,,FALSE
poste_,"['poster', 'postea', 'postel']",,poster postea postel,,,,,FALSE
h_pper,"['hopper', 'hepper']",,hopper hepper,,,,,FALSE
ho_per,"['hopper', 'hooper']",,hopper hooper,,,,,FALSE
hoppe_,"['hopper', 'hopped', 'hoppet']",,hopper hopped hoppet,,,,,FALSE
ba_ter,"['baxter', 'barter', 'batter', 'banter', 'baiter', 'balter']",,baxter barter batter banter baiter balter,,,,,FALSE
orac_e,"['oracle', 'orache']",,oracle orache,,,,,FALSE
_urtle,"['turtle', 'hurtle']",,turtle hurtle,,,,,FALSE
tur_le,"['turtle', 'turkle']",,turtle turkle,,,,,FALSE
_dible,"['edible', 'odible']",,edible odible,,,,,FALSE
un_est,"['unrest', 'unnest']",,unrest unnest,,,,,FALSE
_eckon,"['reckon', 'beckon']",,reckon beckon,,,,,FALSE
infl_x,"['influx', 'inflex']",,influx inflex,,,,,FALSE
pic_ic,"['picnic', 'picric']",,picnic picric,,,,,FALSE
lance_,"['lancet', 'lancer']",,lancet lancer,,,,,FALSE
sp_nge,"['sponge', 'spunge']",,sponge spunge,,,,,FALSE
spong_,"['sponge', 'spongy']",,sponge spongy,,,,,FALSE
expir_,"['expire', 'expiry']",,expire expiry,,,,,FALSE
_etrol,"['petrol', 'tetrol']",,petrol tetrol,,,,,FALSE
petr_l,"['petrol', 'petrel']",,petrol petrel,,,,,FALSE
isa_el,"['isabel', 'isagel']",,isabel isagel,,,,,FALSE
_mpair,"['impair', 'empair']",,impair empair,,,,,FALSE
voi_ed,"['voiced', 'voided']",,voiced voided,,,,,FALSE
a_burn,"['auburn', 'alburn']",,auburn alburn,,,,,FALSE
r_tina,"['retina', 'rytina']",,retina rytina,,,,,FALSE
behe_d,"['beheld', 'behead']",,beheld behead,,,,,FALSE
_elper,"['helper', 'yelper']",,helper yelper,,,,,FALSE
he_per,"['helper', 'hesper', 'hepper', 'heaper']",,helper hesper hepper heaper,,,,,FALSE
_omage,"['homage', 'domage', 'romage']",,homage domage romage,,,,,FALSE
_asper,"['jasper', 'rasper']",,jasper rasper,,,,,FALSE
wea_en,"['weaken', 'weazen']",,weaken weazen,,,,,FALSE
s_aman,"['seaman', 'shaman']",,seaman shaman,,,,,FALSE
sea_an,"['seaman', 'seawan']",,seaman seawan,,,,,FALSE
helme_,"['helmet', 'helmed']",,helmet helmed,,,,,FALSE
pe_vis,"['pelvis', 'pervis']",,pelvis pervis,,,,,FALSE
cohor_,"['cohort', 'cohorn']",,cohort cohorn,,,,,FALSE
_eltic,"['celtic', 'keltic', 'deltic']",,celtic keltic deltic,,,,,FALSE
flora_,"['floral', 'floran']",,floral floran,,,,,FALSE
cr_dle,"['cradle', 'crudle']",,cradle crudle,,,,,FALSE
war_ly,"['warmly', 'warily', 'warely']",,warmly warily warely,,,,,FALSE
curle_,"['curled', 'curlew', 'curler']",,curled curlew curler,,,,,FALSE
re_ive,"['revive', 'relive', 'regive']",,revive relive regive,,,,,FALSE
saw_er,"['sawyer', 'sawder']",,sawyer sawder,,,,,FALSE
sp_rse,"['sparse', 'sperse']",,sparse sperse,,,,,FALSE
spar_e,"['sparse', 'sparge', 'sparve']",,sparse sparge sparve,,,,,FALSE
_emise,"['demise', 'remise']",,demise remise,,,,,FALSE
demis_,"['demise', 'demiss']",,demise demiss,,,,,FALSE
selv_s,"['selves', 'selvas']",,selves selvas,,,,,FALSE
pl_ght,"['plight', 'plyght']",,plight plyght,,,,,FALSE
_otate,"['rotate', 'notate']",,rotate notate,,,,,FALSE
r_tate,"['rotate', 'rutate']",,rotate rutate,,,,,FALSE
_unner,"['runner', 'gunner', 'dunner', 'cunner', 'punner']",,runner gunner dunner cunner punner,,,,,FALSE
r_nner,"['runner', 'renner']",,runner renner,,,,,FALSE
ru_ner,"['runner', 'ruiner']",,runner ruiner,,,,,FALSE
runne_,"['runner', 'runnel', 'runnet']",,runner runnel runnet,,,,,FALSE
re_and,"['remand', 'reland', 'repand']",,remand reland repand,,,,,FALSE
_ooded,"['wooded', 'hooded']",,wooded hooded,,,,,FALSE
wo_ded,"['wooded', 'woaded']",,wooded woaded,,,,,FALSE
woo_ed,"['wooded', 'wooled']",,wooded wooled,,,,,FALSE
_igeon,"['pigeon', 'wigeon']",,pigeon wigeon,,,,,FALSE
impar_,"['impart', 'imparl', 'impark']",,impart imparl impark,,,,,FALSE
_amble,"['gamble', 'ramble', 'hamble', 'wamble', 'famble']",,gamble ramble hamble wamble famble,,,,,FALSE
ga_ble,"['gamble', 'gabble', 'garble']",,gamble gabble garble,,,,,FALSE
saloo_,"['saloon', 'saloop']",,saloon saloop,,,,,FALSE
_iking,"['liking', 'viking', 'eiking']",,liking viking eiking,,,,,FALSE
_entry,"['gentry', 'sentry', 'centry']",,gentry sentry centry,,,,,FALSE
g_ntry,"['gentry', 'gantry']",,gentry gantry,,,,,FALSE
_hrive,"['thrive', 'shrive']",,thrive shrive,,,,,FALSE
thr_ve,"['thrive', 'throve', 'thrave']",,thrive throve thrave,,,,,FALSE
thri_e,"['thrive', 'thrice']",,thrive thrice,,,,,FALSE
_lough,"['plough', 'slough', 'clough']",,plough slough clough,,,,,FALSE
di_ert,"['divert', 'disert']",,divert disert,,,,,FALSE
dive_t,"['divert', 'divest']",,divert divest,,,,,FALSE
r_tten,"['rotten', 'ratten']",,rotten ratten,,,,,FALSE
s_roll,"['scroll', 'stroll']",,scroll stroll,,,,,FALSE
_ooker,"['hooker', 'booker', 'looker']",,hooker booker looker,,,,,FALSE
ho_ker,"['hooker', 'howker']",,hooker howker,,,,,FALSE
hoo_er,"['hooker', 'hooper']",,hooker hooper,,,,,FALSE
